名前,性別,年齢,都道府県,注目食品,備考
北川,女性,29,三重県,マンゴーミルクプリン,
上原,男性,35,佐賀県,エコナクッキングオイルＳ,特保
馬場,男性,41,宮城県,まぐろのたたきご飯,
富田,男性,14,鹿児島県,五穀米ご飯,
藤原,男性,48,長崎県,"""ハンバーグ""＆""白身魚フライ""弁当","このコメントは改行
を含みます"
須藤,女性,20,京都府,チキンと豆腐のハンバーグ弁当,
萩原,女性,25,熊本県,若鶏のグリルガーリックソース,
小沢,女性,45,茨城県,ミックスサラダ,
栗原,男性,65,埼玉県,ピオテアドリンク,特保
岡本,女性,18,新潟県,コロッケ＆唐揚げ弁当,
宮崎,男性,23,三重県,ハンバーグ＆唐揚げ,
川村,女性,35,青森県,"日清おいしさ	プラス	サイリウムドリンク	プレーン(微糖)",特保
西村,女性,68,岡山県,ハンバーガー,
永田,男性,60,島根県,ハンバーグ＆海老フライ弁当,
三宅,女性,58,宮崎県,鶏の唐揚げ,
市川,女性,60,大阪府,和風大皿盛り合わせ,
大谷,女性,47,北海道,オレンジジュース,
川島,女性,16,青森県,"ピュアフローラ,""青りんご味""",特保
福島,男性,27,徳島県,"キシリトール・ガム ""ニューアップルミント""",特保
関根,女性,67,島根県,オムライス,

中野,男性,56,和歌山県,ポテトサラダ,"このコメントは改行
を含みます"
中島,女性,48,愛媛県,マンゴーミルクプリン,
菅野,女性,20,京都府,日清おいしさ プラス サイリウムラーメン タンメン,特保
高田,女性,24,埼玉県,エージーエフビタホットハニーレモンＣ,特保
内藤,男性,38,茨城県,ソフールＬＴ,特保
上田,女性,55,秋田県,ポテトサラダ,
石田,女性,22,京都府,チキンステーキ＆クリームコロッケ弁当,
,女性,42,栃木県,鶏の唐揚げ,"このコメントは改行
を含みます"
小西,,48,鹿児島県,ミルクプリン,
片岡,女性,,長野県,チキンのサラダ,
平井,男性,60,,ゴーサインスティック,
渡辺,男性,66,宮崎県,,特保
小田,男性,43,沖縄県,２種のケーキ盛合せ,
酒井,男性,54,神奈川県,和風チキン＆白身魚フライ弁当,
阿部,女性,15,茨城県,ひれかつ弁当,
,,,,,"このコメントは改行
を含みます"
吉村,女性,35,愛媛県,グリル盛合わせ,
小野,女性,50,愛媛県,和風大皿盛り合わせ,
松井,男性,22,茨城県,ハンバーガー,
小林,女性,62,長野県,ヨーグリーナ,特保
林,男性,14,山形県,ハンバーグ＆中華弁当,
石橋,男性,21,熊本県,天の葉,特保
横山,女性,22,東京都,"コレステミン,アセロラ味",特保
松村,女性,24,徳島県,浅漬け,
五十嵐,女性,13,長野県,日清おいしさプラスサイリウムドリンクオレンジ,特保
服部,女性,30,愛知県,大豆芽茶,特保
岡,男性,10,和歌山県,ほね元気,特保
大森,女性,23,新潟県,メロンソーダ,
矢野,男性,40,北海道,"""ハンバーグ""＆""若鶏の唐揚げ""弁当",
山田,女性,51,埼玉県,リカルデント オーシャンフレッシュ,特保
