回答日,名前,年齢,性別,お住まいの地域,食事は１日平均何回ですか,毎朝朝食をとりますか,睡眠時間は平均どのくらいですか,健康には気を使うほうですか,健康食品を利用していますか,最も利用している健康食品の商品名を記入してください,サプリメントは利用しますか,意識して摂取している栄養成分を複数選択してください_亜鉛,意識して摂取している栄養成分を複数選択してください_カルシウム,意識して摂取している栄養成分を複数選択してください_鉄,意識して摂取している栄養成分を複数選択してください_銅,意識して摂取している栄養成分を複数選択してください_マグネシウム,意識して摂取している栄養成分を複数選択してください_ナイアシン,意識して摂取している栄養成分を複数選択してください_パントテン酸,意識して摂取している栄養成分を複数選択してください_ビオチン,意識して摂取している栄養成分を複数選択してください_ビタミンＡ,意識して摂取している栄養成分を複数選択してください_β－カロテン（ビタミンＡの前駆体）,意識して摂取している栄養成分を複数選択してください_ビタミンＢ1,意識して摂取している栄養成分を複数選択してください_ビタミンＢ2,意識して摂取している栄養成分を複数選択してください_ビタミンＢ6,意識して摂取している栄養成分を複数選択してください_ビタミンＢ12,意識して摂取している栄養成分を複数選択してください_ビタミンＣ,意識して摂取している栄養成分を複数選択してください_ビタミンＤ,意識して摂取している栄養成分を複数選択してください_ビタミンＥ,意識して摂取している栄養成分を複数選択してください_葉酸,意識して摂取している栄養成分を複数選択してください_その他
2011/05/16 00:25:31.669,楠木 琴音,53,女性,山梨県,1回,はい,3時間～5時間未満,はい,はい,オリゴ2400キャロット,いいえ,false,true,true,false,false,true,false,true,true,true,true,false,true,true,false,false,false,false,false
2009/08/11,川下 翔,70,男性,島根県,4回以上,,1時間未満,,いいえ,,いいえ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2011/08/04 21:15:10.249,大河 さくら,45,女性,群馬県,4回以上,いいえ,9時間以上,いいえ,いいえ,,いいえ,false,true,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,true
2009/08/01 22:22:42.800,村崎 涼太,69,男性,滋賀県,3回,はい,3時間～5時間未満,はい,はい,日清おいしさプラスキトサンヌードルしょうゆ味,はい,false,false,false,true,true,false,true,true,false,true,true,true,true,true,false,false,true,false,false
2010/02/27 19:20:01.392,尾沢 和也,39,男性,福島県,2回,いいえ,1時間～3時間未満,はい,はい,ゴマペプ茶,はい,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,false,false
2010/09/27 06:49:01.808,三藤 誠,84,男性,岩手県,3回,はい,9時間以上,はい,いいえ,,はい,true,false,true,false,true,true,false,true,false,false,true,true,true,false,true,false,false,true,true
2010/09/25 06:21:01.183,大里 真由,17,女性,三重県,4回以上,いいえ,5時間～7時間未満,いいえ,はい,ブレンディコーヒーオリゴ糖入りボトルコーヒー,はい,true,true,true,true,false,false,false,true,true,false,false,true,false,true,false,true,true,true,true
2011/04/19 11:20:34.541,加賀 拓也,23,男性,神奈川県,3回,はい,7時間～9時間未満,いいえ,いいえ,,いいえ,false,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,true,true
2010/01/26 13:31:15.198,須原 亮,14,男性,静岡県,1回,いいえ,9時間以上,いいえ,はい,ブレンディ香るブラック,いいえ,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,true,false,true,false
2009/12/17 16:21:01.203,前中 さくら,68,女性,長崎県,4回以上,いいえ,3時間～5時間未満,いいえ,はい,ファンタグレープ,いいえ,true,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,true,true,true
