No.,回答日,名前,年齢,性別,お住まいの地域,食事は１日平均何回ですか,毎朝朝食をとりますか,睡眠時間は平均どのくらいですか,健康には気を使うほうですか,健康食品を利用していますか,最も利用している健康食品の商品名を記入してください,サプリメントは利用しますか,意識して摂取している栄養成分を複数選択してください_亜鉛,意識して摂取している栄養成分を複数選択してください_カルシウム,意識して摂取している栄養成分を複数選択してください_鉄,意識して摂取している栄養成分を複数選択してください_銅,意識して摂取している栄養成分を複数選択してください_マグネシウム,意識して摂取している栄養成分を複数選択してください_ナイアシン,意識して摂取している栄養成分を複数選択してください_パントテン酸,意識して摂取している栄養成分を複数選択してください_ビオチン,意識して摂取している栄養成分を複数選択してください_ビタミンＡ,意識して摂取している栄養成分を複数選択してください_β－カロテン（ビタミンＡの前駆体）,意識して摂取している栄養成分を複数選択してください_ビタミンＢ1,意識して摂取している栄養成分を複数選択してください_ビタミンＢ2,意識して摂取している栄養成分を複数選択してください_ビタミンＢ6,意識して摂取している栄養成分を複数選択してください_ビタミンＢ12,意識して摂取している栄養成分を複数選択してください_ビタミンＣ,意識して摂取している栄養成分を複数選択してください_ビタミンＤ,意識して摂取している栄養成分を複数選択してください_ビタミンＥ,意識して摂取している栄養成分を複数選択してください_葉酸,意識して摂取している栄養成分を複数選択してください_その他
1,25:31.7,楠木 琴音,53,女性,山梨県,1回,はい,3時間～5時間未満,はい,はい,オリゴ2400キャロット,いいえ,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2,2009/8/11,川下 翔,70,男性,島根県,4回以上,,1時間未満,,いいえ,,いいえ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,15:10.2,大河 さくら,45,女性,群馬県,4回以上,いいえ,9時間以上,いいえ,いいえ,,いいえ,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
4,22:42.8,村崎 涼太,69,男性,滋賀県,3回,はい,3時間～5時間未満,はい,はい,日清おいしさプラスキトサンヌードルしょうゆ味,はい,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
5,20:01.4,尾沢 和也,39,男性,福島県,2回,いいえ,1時間～3時間未満,はい,はい,ゴマペプ茶,はい,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
6,49:01.8,三藤 誠,84,男性,岩手県,3回,はい,9時間以上,はい,いいえ,,はい,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
7,21:01.2,大里 真由,17,女性,三重県,4回以上,いいえ,5時間～7時間未満,いいえ,はい,ブレンディコーヒーオリゴ糖入りボトルコーヒー,はい,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
8,20:34.5,加賀 拓也,23,男性,神奈川県,3回,はい,7時間～9時間未満,いいえ,いいえ,,いいえ,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
9,31:15.2,須原 亮,14,男性,静岡県,1回,いいえ,9時間以上,いいえ,はい,ブレンディ香るブラック,いいえ,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
10,21:01.2,前中 さくら,68,女性,長崎県,4回以上,いいえ,3時間～5時間未満,いいえ,はい,ファンタグレープ,いいえ,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
11,48:45.4,下地 洋平,65,男性,埼玉県,1回,いいえ,1時間～3時間未満,はい,はい,ジョア　ブルーベリー,いいえ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
12,48:34.2,北崎 竜也,85,男性,福島県,2回,いいえ,5時間～7時間未満,はい,はい,鉄骨飲料,はい,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
13,40:14.6,宮城 貴大,35,男性,宮崎県,4回以上,はい,5時間～7時間未満,いいえ,いいえ,,いいえ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
14,53:18.5,楠元 さくら,73,女性,熊本県,4回以上,いいえ,1時間未満,はい,はい,日清おいしさプラス キトサンヌードル,いいえ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
15,50:39.7,浅水 一輝,20,男性,和歌山県,1回,いいえ,3時間～5時間未満,はい,いいえ,,はい,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
16,29:20.7,井手口 祐介,23,男性,富山県,3回,はい,5時間～7時間未満,はい,はい,ソフール ＬＴ,いいえ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
17,37:48.9,畔柳 里奈,19,女性,岡山県,3回,はい,9時間以上,はい,いいえ,,いいえ,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
18,09:52.0,鹿内 優太,48,男性,北海道,4回以上,はい,3時間～5時間未満,いいえ,いいえ,,いいえ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
19,41:12.9,岸川 桃子,37,女性,兵庫県,2回,いいえ,9時間以上,はい,いいえ,,いいえ,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
