回答日,名前,年齢,性別,お住まいの地域,食事は１日平均何回ですか,毎朝朝食をとりますか,睡眠時間は平均どのくらいですか,健康には気を使うほうですか,健康食品を利用していますか,最も利用している健康食品の商品名を記入してください,サプリメントは利用しますか,意識して摂取している栄養成分を複数選択してください_亜鉛,意識して摂取している栄養成分を複数選択してください_カルシウム,意識して摂取している栄養成分を複数選択してください_鉄,意識して摂取している栄養成分を複数選択してください_銅,意識して摂取している栄養成分を複数選択してください_マグネシウム,意識して摂取している栄養成分を複数選択してください_ナイアシン,意識して摂取している栄養成分を複数選択してください_パントテン酸,意識して摂取している栄養成分を複数選択してください_ビオチン,意識して摂取している栄養成分を複数選択してください_ビタミンＡ,意識して摂取している栄養成分を複数選択してください_β－カロテン（ビタミンＡの前駆体）,意識して摂取している栄養成分を複数選択してください_ビタミンＢ1,意識して摂取している栄養成分を複数選択してください_ビタミンＢ2,意識して摂取している栄養成分を複数選択してください_ビタミンＢ6,意識して摂取している栄養成分を複数選択してください_ビタミンＢ12,意識して摂取している栄養成分を複数選択してください_ビタミンＣ,意識して摂取している栄養成分を複数選択してください_ビタミンＤ,意識して摂取している栄養成分を複数選択してください_ビタミンＥ,意識して摂取している栄養成分を複数選択してください_葉酸,意識して摂取している栄養成分を複数選択してください_その他
2011/05/16 00:25:31.669,楠木 琴音,53,女性,山梨県,1回,はい,3時間～5時間未満,はい,はい,オリゴ2400キャロット,いいえ,false,true,true,false,false,true,false,true,true,true,true,false,true,true,false,false,false,false,false
2009/08/11,川下 翔,70,男性,島根県,4回以上,,1時間未満,,いいえ,,いいえ,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
2011/08/04 21:15:10.249,大河 さくら,45,女性,群馬県,4回以上,いいえ,9時間以上,いいえ,いいえ,,いいえ,false,true,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,true,true
2009/08/01 22:22:42.800,村崎 涼太,69,男性,滋賀県,3回,はい,3時間～5時間未満,はい,はい,日清おいしさプラスキトサンヌードルしょうゆ味,はい,false,false,false,true,true,false,true,true,false,true,true,true,true,true,false,false,true,false,false
2010/02/27 19:20:01.392,尾沢 和也,39,男性,福島県,2回,いいえ,1時間～3時間未満,はい,はい,ゴマペプ茶,はい,true,true,false,false,true,false,true,true,true,false,false,false,true,true,true,true,true,false,false
2010/09/27 06:49:01.808,三藤 誠,84,男性,岩手県,3回,はい,9時間以上,はい,いいえ,,はい,true,false,true,false,true,true,false,true,false,false,true,true,true,false,true,false,false,true,true
2010/09/25 06:21:01.183,大里 真由,17,女性,三重県,4回以上,いいえ,5時間～7時間未満,いいえ,はい,ブレンディコーヒーオリゴ糖入りボトルコーヒー,はい,true,true,true,true,false,false,false,true,true,false,false,true,false,true,false,true,true,true,true
2011/04/19 11:20:34.541,加賀 拓也,23,男性,神奈川県,3回,はい,7時間～9時間未満,いいえ,いいえ,,いいえ,false,false,true,true,false,true,false,true,false,true,true,false,true,true,false,true,true,true,true
2010/01/26 13:31:15.198,須原 亮,14,男性,静岡県,1回,いいえ,9時間以上,いいえ,はい,ブレンディ香るブラック,いいえ,false,false,false,false,true,false,true,false,false,false,true,false,true,true,true,true,false,true,false
2009/12/17 16:21:01.203,前中 さくら,68,女性,長崎県,4回以上,いいえ,3時間～5時間未満,いいえ,はい,ファンタグレープ,いいえ,true,true,false,true,true,true,false,true,true,true,true,false,false,true,false,false,true,true,true
2009/03/28 11:48:45.365,下地 洋平,65,男性,埼玉県,1回,いいえ,1時間～3時間未満,はい,はい,ジョア　ブルーベリー,いいえ,false,false,false,false,false,false,true,true,false,true,true,false,true,false,true,false,true,false,false
2010/02/17 11:48:34.152,北崎 竜也,85,男性,福島県,2回,いいえ,5時間～7時間未満,はい,はい,鉄骨飲料,はい,true,true,true,false,true,false,false,false,true,false,true,true,false,true,false,false,true,true,false
2011/04/21 03:40:14.633,宮城 貴大,35,男性,宮崎県,4回以上,はい,5時間～7時間未満,いいえ,いいえ,,いいえ,false,true,false,true,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false
2009/06/02 10:53:18.509,楠元 さくら,73,女性,熊本県,4回以上,いいえ,1時間未満,はい,はい,日清おいしさプラス キトサンヌードル,いいえ,false,false,false,false,false,true,false,false,true,true,true,false,false,true,true,false,false,false,true
2010/05/06 11:50:39.656,浅水 一輝,20,男性,和歌山県,1回,いいえ,3時間～5時間未満,はい,いいえ,,はい,true,true,true,false,true,true,true,true,false,true,true,false,true,false,true,true,false,true,false
2009/02/19 12:29:20.696,井手口 祐介,23,男性,富山県,3回,はい,5時間～7時間未満,はい,はい,ソフール ＬＴ,いいえ,true,true,true,false,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true
2008/11/26 05:37:48.872,畔柳 里奈,19,女性,岡山県,3回,はい,9時間以上,はい,いいえ,,いいえ,true,false,false,true,false,false,false,true,false,true,false,true,true,false,true,false,true,true,false
2011/08/07 05:09:52.049,鹿内 優太,48,男性,北海道,4回以上,はい,3時間～5時間未満,いいえ,いいえ,,いいえ,false,false,false,false,true,true,false,true,true,false,false,false,true,true,true,true,false,true,true
2011/07/19 03:41:12.903,岸川 桃子,37,女性,兵庫県,2回,いいえ,9時間以上,はい,いいえ,,いいえ,true,true,false,false,false,false,true,false,true,false,true,false,true,false,true,true,true,true,true
2011/06/12 01:13:59.542,徳久 菜月,13,女性,岩手県,1回,はい,5時間～7時間未満,いいえ,いいえ,,はい,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false
2011/09/07 23:30:51.825,竹田 美穂,61,女性,長野県,3回,いいえ,1時間未満,はい,はい,ブレンディコーヒーオリゴ糖入りボトルコーヒー,いいえ,true,true,true,true,true,false,true,true,true,false,false,true,true,false,false,false,true,false,true
2009/12/26 15:42:36.971,松戸 彩香,63,女性,宮城県,2回,いいえ,3時間～5時間未満,いいえ,いいえ,,はい,true,true,false,true,false,true,false,true,true,true,true,false,true,true,false,true,false,false,true
2011/05/04 06:00:26.648,山県 達也,37,男性,滋賀県,2回,いいえ,3時間～5時間未満,はい,いいえ,,いいえ,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,true,false,true,false
2010/02/04 16:46:11.242,野路 匠,34,男性,京都府,3回,いいえ,1時間～3時間未満,はい,はい,日清おいしさプラス サイリウムコーンフレーク プレーン,はい,true,false,true,false,false,false,true,true,true,false,false,false,false,true,true,true,true,false,true
2010/10/25 06:05:01.526,竹谷 大貴,51,男性,栃木県,3回,はい,9時間以上,いいえ,はい,ピュアセレクトサラリア,いいえ,true,true,true,false,false,true,true,true,true,false,true,false,false,true,true,false,true,false,true
2011/02/03 14:01:20.610,淵上 さくら,39,女性,宮崎県,1回,はい,7時間～9時間未満,はい,いいえ,,いいえ,false,true,false,false,false,true,false,false,true,false,true,false,true,true,false,true,false,true,false
2008/10/27 21:09:28.415,小久保 直樹,78,男性,青森県,3回,いいえ,9時間以上,はい,はい,キリン コレステミン,はい,true,false,true,false,true,true,false,true,false,false,false,true,true,true,true,true,false,false,true
2011/08/10 09:16:55.947,溝部 優太,20,男性,北海道,4回以上,はい,1時間未満,はい,いいえ,,はい,false,false,true,false,true,true,true,true,false,true,false,true,false,false,false,true,true,true,true
2010/03/30 07:13:55.482,小平 竜也,39,男性,新潟県,4回以上,いいえ,3時間～5時間未満,はい,はい,水々しあ,はい,false,false,false,false,false,false,true,true,false,true,false,false,true,false,false,true,true,false,true
2009/03/26 18:28:13.351,木戸口 智也,63,男性,山形県,1回,いいえ,7時間～9時間未満,いいえ,はい,毎朝爽快,いいえ,false,true,false,true,true,true,true,true,true,false,true,false,true,false,true,false,true,true,true
2009/11/01 17:07:03.886,印南 拓也,88,男性,群馬県,3回,はい,7時間～9時間未満,いいえ,いいえ,,はい,true,true,true,true,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true
2009/10/29 11:50:34.891,小室 あゆみ,53,女性,山梨県,2回,はい,3時間～5時間未満,いいえ,いいえ,,いいえ,false,false,false,false,true,false,true,false,false,false,true,false,true,false,true,true,false,true,false
2010/11/28 14:14:02.628,大曽根 彩香,30,女性,岡山県,4回以上,いいえ,3時間～5時間未満,いいえ,いいえ,,はい,false,false,false,false,true,false,false,true,false,false,true,true,true,false,false,false,true,false,false
2011/05/23 16:30:39.529,大出 葵,28,女性,広島県,4回以上,いいえ,1時間～3時間未満,いいえ,はい,ＡＧＦ ビタホット,いいえ,false,true,false,false,false,false,false,true,false,false,true,true,true,true,false,false,true,false,true
2009/08/03 03:28:53.461,秋山 和也,30,男性,三重県,1回,いいえ,9時間以上,はい,はい,サーディンサポート,いいえ,false,false,true,false,true,true,false,false,true,false,true,true,true,true,false,true,false,false,true
2010/11/09 12:47:18.310,浜松 成美,65,女性,山梨県,2回,いいえ,5時間～7時間未満,いいえ,いいえ,,はい,true,false,true,false,false,false,true,true,false,true,true,false,false,true,true,true,true,true,false
2010/08/21 23:46:09.322,亀崎 健太,62,男性,長崎県,1回,いいえ,3時間～5時間未満,はい,はい,プリン,いいえ,true,false,true,false,true,false,true,false,false,false,true,true,false,true,true,false,false,true,false
2009/02/10 13:03:40.103,笹部 美穂,20,女性,富山県,2回,はい,1時間未満,はい,はい,日清おいしさプラス キトサンヌードル しょうゆ味,いいえ,false,true,false,false,true,false,false,false,true,false,true,true,false,false,false,false,false,true,true
2010/10/27 19:07:00.280,渡瀬 達也,73,男性,長崎県,1回,いいえ,5時間～7時間未満,はい,いいえ,,いいえ,false,true,false,true,false,false,false,true,true,true,false,false,false,false,false,true,false,false,true
